,Name,Born,Party,Bundesland,Gender,Age
0,Wolfgang Stefinger,1985,CSU,Bayern,male,35
1,Kai Whittaker,1985,CDU,Baden-Württemberg,male,35
2,Katrin Albsteiger,1983,CSU,Bayern,female,37
3,Susanna Karawanskij,1980,DIE LINKE,Sachsen,female,40
4,Florian Oßner,1980,CSU,Bayern,male,40
5,Cemile Giousouf,1978,CDU,Nordrhein-Westfalen,female,42
7,Reinhard Brandl,1977,CSU,Bayern,male,43
8,Irene Mihalic,1976,GRÜNE,Nordrhein-Westfalen,female,44
9,Nicole Gohlke,1975,DIE LINKE,Bayern,female,45
10,Cansel Kiziltepe,1975,SPD,Berlin,male,45
11,Jan-Marco Luczak,1975,CDU,Berlin,male,45
12,Wilfried Oellers,1975,CDU,Nordrhein-Westfalen,male,45
14,Thomas Viesehon,1973,CDU,Hessen,male,47
15,Halina Wawzyniak,1973,DIE LINKE,Berlin,female,47
17,Hendrik Hoppenstedt,1972,CDU,Niedersachsen,male,48
18,Philipp Lengsfeld,1972,CDU,Berlin,male,48
19,Florian Pronold,1972,SPD,Bayern,male,48
20,Hansjörg Durz,1971,CSU,Bayern,male,49
21,Martin Rabanus,1971,SPD,Hessen,male,49
22,Patrick Ernst Sensburg,1971,CDU,Nordrhein-Westfalen,male,49
23,Matthias Gastel,1970,GRÜNE,Baden-Württemberg,male,50
24,Olav Gutting,1970,CDU,Baden-Württemberg,male,50
25,Christian von Stetten,1970,CDU,Baden-Württemberg,male,50
26,Stefan Zierke,1970,SPD,Brandenburg,male,50
27,Jürgen Coße,1969,SPD,Nordrhein-Westfalen,male,51
28,Eva Högl,1969,SPD,Berlin,female,51
29,Andreas Mattfeldt,1969,CDU,Niedersachsen,male,51
30,Georg Nüßlein,1969,CSU,Bayern,male,51
31,Fritz Felgentreu,1968,SPD,Berlin,male,52
32,Sigrid Hupach,1968,DIE LINKE,Thüringen,female,52
33,Özcan Mutlu,1968,GRÜNE,Berlin,male,52
34,Michael Vietz,1968,CDU,Niedersachsen,male,52
37,Burkhard Blienert,1966,SPD,Nordrhein-Westfalen,male,54
40,Annette Widmann-Mauz,1966,CDU,Baden-Württemberg,female,54
41,Oliver Wittke,1966,CDU,Nordrhein-Westfalen,male,54
44,Gunther Krichbaum,1964,CDU,Baden-Württemberg,male,56
45,Mathias Middelberg,1964,CDU,Niedersachsen,male,56
46,Dietmar Nietan,1964,SPD,Nordrhein-Westfalen,male,56
48,Wolfgang Strengmann-Kuhn,1964,GRÜNE,Hessen,male,56
49,Beate Walter-Rosenheimer,1964,GRÜNE,Bayern,female,56
50,Enak Ferlemann,1963,CDU,Niedersachsen,male,57
51,Andrej Hunko,1963,DIE LINKE,Nordrhein-Westfalen,male,57
52,Roderich Kiesewetter,1963,CDU,Baden-Württemberg,male,57
53,Martin Dörmann,1962,SPD,Nordrhein-Westfalen,male,58
54,Monika Grütters,1962,CDU,Berlin,female,58
55,Heidtrud Henn,1962,SPD,Saarland,female,58
57,Marianne Schieder,1962,SPD,Bayern,female,58
58,Elisabeth Winkelmeier-Becker,1962,CDU,Nordrhein-Westfalen,female,58
59,Gülistan Yüksel,1962,SPD,Nordrhein-Westfalen,male,58
60,Ingrid Arndt-Brauer,1961,SPD,Nordrhein-Westfalen,female,59
61,Dirk Heidenblut,1961,SPD,Nordrhein-Westfalen,male,59
65,Michael Grosse-Brömer,1960,CDU,Niedersachsen,male,60
