Date,name politician,nationality/Country,EU party,gender,parl gov id ,left/right,national party (z.B. CDU),Opposition/Regierung,mp (z.B. german mp),mep,entry national parliament (date),exit national parliament (date),entry european parliament (date),exit european parliament (date),government leader (Regierungschef),party leader EU (parliamentary leader),Spitzenkandidat 2019,wikidataid (bei Angela Merkel zB: Q567) ,comment
17/01/2019,Charles Michel ,Belgium,,male,915,Centre-right,MR,1.000,,,,27/10/2019,,,MR,,,,
17/01/2019,Didier Reynders,Belgium,,male,915,Centre-right,MR,1.000,,,,27/10/2019,,,,,,,
17/01/2019,Kris Peeters,Belgium,,male,723,Centre to centre-right,CD&V ,1.000,,,,27/10/2019,,,,,,,
17/01/2019,Alexander De Croo,Belgium,,male,1110,Centre to centre-right,Open VLD,1.000,,,01/10/2020,,,,Open VLD,,,,
17/01/2019,Denis Ducarme,Belgium,,male,915,Centre-right,MR,1.000,,,,01/10/2020,,,,,,,
17/01/2019,Sophie Wilmès,Belgium,,female,915,Centre-right,MR,1.000,,,01/10/2020,,,,,,,,
17/01/2019,Marie-Christine Marghem,Belgium,,female,915,Centre-right,MR,1.000,,,,01/10/2020,,,,,,,
17/01/2019,François Bellot,Belgium,,male,915,Centre-right,MR,1.000,,,,27/10/2019,,,,,,,
17/01/2019,Daniel Baquelaine,Belgium,,male,915,Centre-right,MR,1.000,,,,01/10/2020,,,,,,,
17/01/2019,Koen Geens,Belgium,,male,723,Centre to centre-right,CD&V ,1.000,,,,01/10/2020,,,,,,,
17/01/2019,Maggie De Block,Belgium,,female,1110,Centre to centre-right,Open VLD,1.000,,,,01/10/2020,,,,,,,
27/11/2020,Pierre-Yves Dermagne,Belgium,,male,1378,Centre-left,PS,0.125,,,01/10/2020,,,,,,,,
27/11/2020,George Gilkinet,Belgium,,male,161,Centre-left to left-wing,Ecolo,0.125,,,01/10/2020,,,,,,, ,
27/11/2020,Vincent Van Peteghem,Belgium,,male ,723,Centre to centre-right,CD&V ,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Frank Vandenbroucke,Belgium,,male,1113,Centre-left,sp.a,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Petra De Sutter,Belgium,,female,1594,Centre-left to left-wing,Groen,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Vincent Van Quickenborne,Belgium,,male,1110,Centre to centre-right,Open VLD,1.000,,,01/10/2020,,,,,,,,
27/11/2020,David Clarinval,Belgium,,male,915,Centre-right,MR,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Karine Lalieux,Belgium,,female,1378,Centre-left,PS,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Ludivine Dedonder,Belgium,,female,1378,Centre-left,PS,0.125,,,01/10/2020,,,,,,,,
17/01/2019,Zakia Khattabi,Belgium,,female,161,Centre-left to left-wing,Ecolo,0.125,,,01/10/2020,,,,,Ecolo (22.03.2015 - 15.09.2019),,,
27/11/2020,Annelies Verinden,Belgium,,female,723,Centre to centre-right,CD&V ,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Meryame Kitir,Belgium,,female,1113,Centre-left,sp.a,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Tinne Van der Straeten,Belgium,,female,1594,Centre-left to left-wing,Groen,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Thomas Dermine ,Belgium,,male,1378,Centre-left,PS,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Mathieu Michel,Belgium,,male,915,Centre-right,MR,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Sarah Schlitz,Belgium,,female,161,Centre-left to left-wing,Ecolo,0.125,,,01/10/2020,,,,,,,,
27/11/2020,Sammy Mahdi,Belgium,,male,723,Centre to centre-right,CD&V ,1.000,,,01/10/2020,,,,,,,,
27/11/2020,Eva De Bleeker,Belgium,,female,1110,Centre to centre-right,Open VLD,1.000,,,01/10/2020,,,,,,,,
17/01/2019,Wouter Beke ,Belgium,,male,723,Centre to centre-right,CD&V ,1.000,,,23/06/2010,08/02/2019,,,,CD&V,,,
17/01/2019,Benoît Lutgen,Belgium,,male,1192,Centre to centre-left,CDH,0.000,,,01/09/2011,26/01/2019,,,,CDH ,,,
17/01/2019,Jean-Marc Nollet,Belgium,,male,161,Centre-left to left-wing,Ecolo,0.125,,,09/11/2019,,,,,Ecolo,,,
17/01/2019,Meyrem Almaci,Belgium,,female,1594,Centre-left to left-wing,Groen,0.125,,,2014,,,,,Groen,,,
17/01/2019,Olivier Chastel,Belgium,,male,915,Centre-right,MR,1.000,,,13/10/2014,18/02/2014,,,,MR,,,
17/01/2019,Bart de Wever,Belgium,,male,501,Centre-right to right-wing,N-VA,0.000,,,2004,,,,,N-VA,,,
17/01/2019,Elio Di Rupo,Belgium,,male,1378,Centre-left,PS,0.125,,,2014,,,,,PS,,,
17/01/2019,John Crombez,Belgium,,male,1113,Centre-left,sp.a,0.125,,,13/06/2015,,,,,sp.a,,,
17/01/2019,Tom Van Grieken,Belgium,,male,993,Right-wing to far-right,VB,0.000,,,19/10/2014,,,,,VB ,,,
17/01/2019,Gwendolyn Rutten,Belgium,,female,1110,Centre to centre-right,Open VLD,1.000,,,08/12/2012,22/05/2020,,,,PP ,,,
17/01/2019,Mischaël Modrikamen,Belgium,,male,438,Right-wing to far-right,PP,0.000,,,Nov-09,,,,,PP ,,,
27/11/2020,Peter Mertens,Belgium,,male,256,Left-wing to far-left,PVDA,0.000,,,01/03/2008,,,,,PVDA ,,,
27/11/2020,Rajae Maouane,Belgium,,female,161,Centre-left to left-wing,Ecolo,0.125,,,15/09/2019,,,,,Ecolo ,,,
27/11/2020,Dany Neudt,Belgium,,male,1594,Centre-left to left-wing,Groen,0.125,,,Oct-19,,,,,Groen,,,
27/11/2020,	François De Smet,Belgium,,male,969,Centre to centre-right,DéFI,0.000,,,12 2019,,,,,DéFI,,,
27/11/2020,Georges-Louis Bouchez,Belgium,,male ,915,Centre-right,MR,1.000,,,29/11/2019,,,,,MR ,,,
27/11/2020,Egbert Lachaert,Belgium,,male,1110,Centre to centre-right,Open VLD,1.000,,,2020,,,,,Open VLD,,,
27/11/2020,Maxime Prévot,Belgium,,male,1192,Centre to centre-left,CDH,0.000,,,26/01/2019,,,,,CDH,,,
17/01/2019,Boyko Borisov,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,2009,,,,GERB,GERB ,,,
17/01/2019,Tomislav Donchev,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,07/11/2014,,,,,,,,
17/01/2019,Mariyana Nikolova,Bulgaria,,female,133,,Independent,,,,21/11/2018,,,,,,,,
17/01/2019,Krasimir Karakachanov,Bulgaria,,male,2212,Far-right,VMRO,1.000,,,04/05/2017,,,,,VP (28.07.2016),,,
17/01/2019,Ekaterina Zaharieva,Bulgaria,,female,133,,Independent,,,,04/05/2017,,,,,,,,
17/01/2019,Vladislav Goranov,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,04/05/2017,24/07/2020,,,,,,,
17/01/2019,Mladen Marinov,Bulgaria,,male,133,,Independent,,,,20/09/2018,,,,,,,,
17/01/2019,Petya Avramova,Bulgaria,,female,1541,Centre-right,GERB,1.000,,,20/09/2018,,,,,,,,
17/01/2019,Biser Petkov,Bulgaria,,male,133,,Independent,,,,04/05/2017,29/11/2019,,,,,,,
17/01/2019,Tsetska Tsacheva,Bulgaria,,female,1541,Centre-right,GERB,1.000,,,04/05/2017,05/04/2019,,,,,,,
17/01/2019,Krasimir Valchev,Bulgaria,,male,133,,Independent,,,,04/05/2017,,,,,,,,
17/01/2019,Kiril Ananiev,Bulgaria,,male,133,,Independent,,,,10/11/2017,,,,,,,,
17/01/2019,Boil Banov,Bulgaria,,male,133,,Independent,,,,04/05/2017,,,,,,,,
17/01/2019,Neno Dimov,Bulgaria,,male,133,,Independent,,,,04/05/2017,15/01/2020,,,,,,,
17/01/2019,Rumen Porodzanov,Bulgaria,,male,133,,Independent,,,,04/05/2017,14/05/2019,,,,,,,
17/01/2019,Rossen Jeliazkov,Bulgaria,,male,133,,Independent,,,,20/09/2018,,,,,,,,
17/01/2019,Emil Karanikolov,Bulgaria,,male,133,,Independent,,,,04/05/2017,24/07/2020,,,,,,,
17/01/2019,Temenuzhka Petkova,Bulgaria,,female,133,,Independent,,,,07/11/2014,,,,,,,,
17/01/2019,Nikolina Angelkova,Bulgaria,,female,1541,Centre-right,GERB,1.000,,,07/11/2014,,,,,,,,
17/01/2019,Krasen Kralev,Bulgaria,,male,1541,Centre-right,GERB,1.000,,,07/11/2014,,,,,,,,
